id,gameweek,home_team,away_team,home_team_code,away_team_code,venue,kickoff_time,home_score,away_score,result,status,created_at
2bebb321-90b9-4d0c-acaa-0fe4a8bb23f4,33,Everton,Liverpool,EVE,LIV,,2026-04-19 13:00:00+00,1,2,A,finished,2026-04-30 02:51:57.625289+00
16dd9173-9c73-42c1-8ae6-2540ccd8d8ff,33,Chelsea,Man Utd,CHE,MUN,,2026-04-18 19:00:00+00,0,1,A,finished,2026-04-30 02:51:57.072473+00
811c23a8-0d66-4a47-9f3a-4b05ed82b63b,33,Crystal Palace,West Ham,CRY,WHU,,2026-04-20 19:00:00+00,0,0,D,finished,2026-04-30 02:51:58.530661+00
1171da96-9001-473f-b2bf-c0d4f5d088e7,33,Burnley,Man City,BUR,MCI,,2026-04-22 19:00:00+00,0,1,A,finished,2026-04-30 02:51:59.441339+00
53bcd8f1-45b8-4703-9d66-f1a23bec5c9c,32,Chelsea,Man City,CHE,MCI,,2026-04-12 15:30:00+00,0,3,A,finished,2026-04-30 02:51:55.300788+00
b139f10b-2fbb-4cb4-b760-a9a3e688deb0,32,Liverpool,Fulham,LIV,FUL,,2026-04-11 16:30:00+00,2,0,H,finished,2026-04-30 02:51:54.129737+00
38b16857-768b-419d-8354-6b765dadc50d,32,Nott'm Forest,Aston Villa,NFO,AVL,,2026-04-12 13:00:00+00,1,1,D,finished,2026-04-30 02:51:54.708625+00
41af1a5e-8d59-4a47-b498-7fb8f70335ca,32,Sunderland,Spurs,SUN,TOT,,2026-04-12 13:00:00+00,1,0,H,finished,2026-04-30 02:51:54.999013+00
8e28a154-3135-4b46-b2f5-4509d124ccf0,32,Brentford,Everton,BRE,EVE,,2026-04-11 14:00:00+00,2,2,D,finished,2026-04-30 02:51:53.541577+00
a6f5a5cb-3bb0-4b1e-8126-682aec51de1a,32,Crystal Palace,Newcastle,CRY,NEW,,2026-04-12 13:00:00+00,2,1,H,finished,2026-04-30 02:51:54.422817+00
2687e5ae-9013-4c17-a7b5-de0914eacd6c,32,Man Utd,Leeds,MUN,LEE,,2026-04-13 19:00:00+00,1,2,A,finished,2026-04-30 02:51:55.596102+00
08a02045-e91b-4550-846d-1ce3d255be91,32,West Ham,Wolves,WHU,WOL,,2026-04-10 19:00:00+00,4,0,H,finished,2026-04-30 02:51:52.911708+00
f2f1dfcd-feff-450c-bf26-be07e994ac28,32,Burnley,Brighton,BUR,BHA,,2026-04-11 14:00:00+00,0,2,A,finished,2026-04-30 02:51:53.832675+00
6b6c6ec8-5fce-4bfd-90bc-86935a2ce4d4,32,Arsenal,Bournemouth,ARS,BOU,,2026-04-11 11:30:00+00,1,2,A,finished,2026-04-30 02:51:53.24631+00
debe17c3-feaa-480d-a790-4de8dd7e578e,31,Spurs,Nott'm Forest,TOT,NFO,,2026-03-22 14:15:00+00,0,3,A,finished,2026-04-30 02:51:52.58672+00
8d2813dd-d670-4553-b4f9-9f2ea81b2428,31,Bournemouth,Man Utd,BOU,MUN,,2026-03-20 20:00:00+00,2,2,D,finished,2026-04-30 02:51:50.583718+00
8677ed45-2236-4c40-83d1-39e0b26543af,31,Everton,Chelsea,EVE,CHE,,2026-03-21 17:30:00+00,3,0,H,finished,2026-04-30 02:51:51.442582+00
466d5324-1cb2-403e-bd95-e22b50e986ad,31,Aston Villa,West Ham,AVL,WHU,,2026-03-22 14:15:00+00,2,0,H,finished,2026-04-30 02:51:52.270738+00
65a6ef3a-b3d1-44a7-99c8-b4890b00477a,31,Brighton,Liverpool,BHA,LIV,,2026-03-21 12:45:00+00,2,1,H,finished,2026-04-30 02:51:50.859395+00
f0ab6904-3c93-4aca-a926-38690d4c7453,31,Fulham,Burnley,FUL,BUR,,2026-03-21 15:00:00+00,3,1,H,finished,2026-04-30 02:51:51.153258+00
